Date;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
12/08/2020;20443979;744856;12642929;3.64;61.84;34.51
11/08/2020;20361089;742779;12596854;3.65;61.87;34.48
10/08/2020;20105656;736330;12291818;3.66;61.14;35.20
09/08/2020;19876843;731448;12127075;3.68;61.01;35.31
08/08/2020;19652660;726903;11950359;3.70;60.81;35.49
07/08/2020;19393121;721445;11748996;3.72;60.58;35.70
06/08/2020;19113660;715067;11556247;3.74;60.46;35.80
05/08/2020;18829517;707951;11367250;3.76;60.37;35.87
04/08/2020;18556564;700864;11145748;3.78;60.06;36.16
03/08/2020;18300253;693839;10923907;3.79;59.69;36.52
02/08/2020;18094041;689475;10700543;3.81;59.14;37.05
01/08/2020;17865001;685176;10563573;3.84;59.13;37.03
31/07/2020;17614296;679615;10378983;3.86;58.92;37.22
30/07/2020;17325547;673325;10180506;3.89;58.76;37.35
29/07/2020;17044774;667141;9958065;3.91;58.42;37.66
28/07/2020;16705623;659736;9720830;3.95;58.19;37.86
27/07/2020;16501633;654168;9582203;3.96;58.07;37.97
26/07/2020;16266285;648748;9406753;3.99;57.83;38.18
25/07/2020;16060730;645368;9271768;4.02;57.73;38.25
24/07/2020;15806050;639763;9052206;4.05;57.27;38.68
23/07/2020;15524629;633506;8822739;4.08;56.83;39.09
22/07/2020;15242985;623552;8652705;4.09;56.77;39.14
21/07/2020;14960620;616552;8475341;4.12;56.65;39.23
20/07/2020;14720932;610002;8298477;4.14;56.37;39.48
19/07/2020;14520344;606279;8141267;4.18;56.07;39.76
18/07/2020;14305771;602250;8053431;4.21;56.29;39.50
17/07/2020;14067985;596621;7902154;4.24;56.17;39.59
16/07/2020;13817857;590014;7718650;4.27;55.86;39.87
15/07/2020;13566905;584226;7566297;4.31;55.77;39.92
14/07/2020;13336179;578746;7406152;4.34;55.53;40.13
13/07/2020;13116451;573101;7263785;4.37;55.38;40.25
12/07/2020;12922180;569223;7123144;4.41;55.12;40.47
11/07/2020;12729715;565233;7011486;4.44;55.08;40.48
10/07/2020;12510023;560301;6885512;4.48;55.04;40.48
09/07/2020;12279903;555014;6745885;4.52;54.93;40.55
08/07/2020;12053412;549587;6592588;4.56;54.69;40.75
07/07/2020;11840578;544249;6452947;4.60;54.50;40.90
06/07/2020;11629789;538142;6307711;4.63;54.24;41.14
05/07/2020;11459238;534347;6183973;4.66;53.96;41.37
04/07/2020;11276829;530835;6064532;4.71;53.78;41.51
03/07/2020;11084040;525202;5868725;4.74;52.95;42.31
02/07/2020;10878765;521379;5758753;4.79;52.94;42.27
01/07/2020;10701391;516291;5582353;4.82;52.16;43.01
30/06/2020;10484372;511333;5357831;4.88;51.10;44.02
29/06/2020;10310296;505582;5240216;4.90;50.83;44.27
28/06/2020;10154292;501967;5145092;4.94;50.67;44.39
27/06/2020;9988035;498784;5056057;4.99;50.62;44.39
26/06/2020;9809878;494254;4949655;5.04;50.46;44.51
25/06/2020;9617883;489384;4842949;5.09;50.35;44.56
24/06/2020;9438315;482823;4750106;5.12;50.33;44.56
23/06/2020;9270997;477652;4634309;5.15;49.99;44.86
22/06/2020;9105849;472239;4530207;5.19;49.75;45.06
21/06/2020;8962696;468431;4450796;5.23;49.66;45.11
20/06/2020;8798685;464530;4381925;5.28;49.80;44.92
19/06/2020;8671662;460081;4249397;5.31;49.00;45.69
18/06/2020;8495411;454048;4158663;5.34;48.95;45.70
17/06/2020;8356118;449022;4077398;5.37;48.80;45.83
16/06/2020;8179961;443748;3958560;5.42;48.39;46.18
15/06/2020;8039804;436960;3860663;5.43;48.02;46.55
14/06/2020;7906140;433127;3772750;5.48;47.72;46.80
13/06/2020;7772052;429795;3701328;5.53;47.62;46.85
12/06/2020;7637769;425453;3616270;5.57;47.35;47.08
11/06/2020;7519286;421517;3543500;5.61;47.13;47.27
10/06/2020;7364783;416226;3457606;5.65;46.95;47.40
09/06/2020;7246709;411461;3378442;5.68;46.62;47.70
08/06/2020;7123136;406599;3296150;5.71;46.27;48.02
07/06/2020;7014603;402799;3143478;5.74;44.81;49.44
06/06/2020;6900888;400054;3088356;5.80;44.75;49.45
05/06/2020;6773758;396183;3003651;5.85;44.34;49.81
04/06/2020;6636847;391191;2872428;5.89;43.28;50.83
03/06/2020;6508880;386001;2807405;5.93;43.13;50.94
02/06/2020;6381897;380304;2731853;5.96;42.81;51.23
01/06/2020;6269157;375597;2698328;5.99;43.04;50.97
31/05/2020;6170014;372086;2643560;6.03;42.85;51.12
30/05/2020;6062063;369177;2566909;6.09;42.34;51.57
29/05/2020;5927293;364926;2495738;6.16;42.11;51.74
28/05/2020;5811874;360358;2418052;6.20;41.61;52.19
27/05/2020;5695168;355679;2352168;6.25;41.30;52.45
26/05/2020;5592460;350503;2288612;6.27;40.92;52.81
25/05/2020;5497836;346282;2233394;6.30;40.62;53.08
24/05/2020;5410337;345109;2170218;6.38;40.11;53.51
23/05/2020;5313524;342262;2114515;6.44;39.79;53.76
22/05/2020;5213729;338282;2058635;6.49;39.48;54.03
21/05/2020;5104943;332972;1950380;6.52;38.21;55.27
20/05/2020;4998977;328163;1899106;6.56;37.99;55.45
19/05/2020;4899872;323331;1840511;6.60;37.56;55.84
18/05/2020;4804315;318527;1787386;6.63;37.20;56.17
17/05/2020;4716600;315318;1738398;6.69;36.86;56.46
16/05/2020;4636225;311923;1695120;6.73;36.56;56.71
15/05/2020;4544533;307710;1638371;6.77;36.05;57.18
14/05/2020;4444320;302462;1589197;6.81;35.76;57.44
13/05/2020;4349096;297239;1549851;6.83;35.64;57.53
12/05/2020;4263981;292004;1494583;6.85;35.05;58.10
11/05/2020;4179447;286369;1457371;6.85;34.87;58.28
10/05/2020;4103681;282748;1410135;6.89;34.36;58.75
09/05/2020;4025908;279350;1376776;6.94;34.20;58.86
08/05/2020;3939824;274936;1323062;6.98;33.58;59.44
07/05/2020;3847468;269605;1285692;7.01;33.42;59.58
06/05/2020;3757066;263868;1246363;7.02;33.17;59.80
05/05/2020;3664306;257272;1199765;7.02;32.74;60.24
04/05/2020;3584630;251570;1163657;7.02;32.46;60.52
03/05/2020;3508149;247501;1126047;7.06;32.10;60.85
02/05/2020;3428762;243839;1093923;7.11;31.90;60.98
01/05/2020;3347139;238931;1053327;7.14;31.47;61.39
30/04/2020;3258259;233388;1014753;7.16;31.14;61.69
29/04/2020;3195212;227638;972719;7.12;30.44;62.43
28/04/2020;3114703;217153;928658;6.97;29.82;63.21
27/04/2020;3043016;211167;893967;6.94;29.38;63.68
26/04/2020;2972727;206544;865733;6.95;29.12;63.93
25/04/2020;2897941;202846;816685;7.00;28.18;64.82
24/04/2020;2811906;197151;793420;7.01;28.22;64.77
23/04/2020;2708884;190858;738486;7.05;27.26;65.69
22/04/2020;2623972;183066;709694;6.98;27.05;65.98
21/04/2020;2549122;176583;679819;6.93;26.67;66.40
20/04/2020;2472366;169986;645738;6.88;26.12;67.01
19/04/2020;2401378;165044;623903;6.87;25.98;67.15
18/04/2020;2321582;159510;592319;6.87;25.51;67.62
17/04/2020;2240190;153822;568343;6.87;25.37;67.76
16/04/2020;2152746;143801;542107;6.68;25.18;68.14
15/04/2020;2056054;134177;511019;6.53;24.85;68.62
14/04/2020;1976191;125984;474261;6.38;24.00;69.63
13/04/2020;1904838;119482;448655;6.27;23.55;70.17
12/04/2020;1834721;114089;421722;6.22;22.99;70.80
11/04/2020;1762040;108502;402110;6.16;22.82;71.02
10/04/2020;1682457;102525;376096;6.09;22.35;71.55
09/04/2020;1587140;95455;353975;6.01;22.30;71.68
08/04/2020;1501455;88338;328661;5.88;21.89;72.23
